"BusStopID","Longitude","Latitude","BusStopName"
"133","Stop_201",8.7761127,50.7982066,"node/1838100474"
"134","Stop_202",8.7787508,50.7910907,"node/1838292308"
"135","Stop_203",8.7705186,50.7813048,"node/1868477557"
"136","Stop_204",8.7542809,50.7999927,"node/1881648736"
"137","Stop_205",8.7520036,50.7964653,"node/1887321584"
"138","Stop_206",8.7593355,50.8021281,"node/1887321596"
"139","Stop_207",8.7591067,50.8021957,"node/1887321598"
"140","Stop_208",8.7592413,50.8023345,"node/1887321602"
"141","Stop_209",8.7428149,50.8023272,"Herrmannstraße"
"142","Stop_210",8.7616243,50.8059159,"node/1912193686"
"143","Stop_211",8.7616654,50.8059308,"node/1912193689"
"144","Stop_212",8.7717658,50.8075093,"node/1922680421"
"145","Stop_213",8.7479212,50.8014077,"Stiftstraße"
"146","Stop_214",8.7361461,50.7984935,"Gladenbacher Weg"
"147","Stop_215",8.7717203,50.8073779,"node/1955596460"
"148","Stop_216",8.7532332,50.7969051,"Am Herrenfeld (Feuerwehr)"
"149","Stop_217",8.7735194,50.8075831,"node/1986183031"
"150","Stop_218",8.7612196,50.806663,"node/1996076256"
"151","Stop_219",8.7629361,50.8082986,"Turnergarten, B2"
"152","Stop_220",8.7588478,50.8063867,"node/2018667131"
"153","Stop_224",8.7660601,50.7863417,"node/2074469663"
"154","Stop_225",8.6898668,50.7871867,"Hermershausen"
"155","Stop_227",8.7546493,50.8002798,"Bachweg"
"156","Stop_228",8.7511645,50.7973496,"Zwetschenweg"
"157","Stop_229",8.7509434,50.7976432,"Zwetschenweg"
"158","Stop_230",8.7523167,50.7985667,"Georg-Gaßmann-Stadion"
"159","Stop_231",8.7525103,50.7986558,"Georg-Gaßmann-Stadion"
"160","Stop_232",8.7539604,50.7996906,"Bachweg"
"161","Stop_233",8.7572564,50.8015527,"node/2125642777"
"162","Stop_235",8.7379001,50.8031146,"Soldatengraben"
"163","Stop_236",8.7379287,50.8033288,"Soldatengraben"
"164","Stop_239",8.7446953,50.7948484,"node/2143164867"
"165","Stop_240",8.7430885,50.7935398,"node/2144234676"
"166","Stop_241",8.779035,50.7848751,"node/2154583573"
"167","Stop_242",8.7789446,50.7849454,"node/2154583581"
"168","Stop_243",8.7673706,50.7862131,"node/2154583615"
"169","Stop_244",8.7736036,50.786322,"node/2154583624"
"170","Stop_245",8.7733488,50.7863684,"node/2154583627"
"171","Stop_247",8.7818027,50.8042246,"node/2163198667"
"172","Stop_248",8.7729099,50.818536,"node/2263112418"
"173","Stop_249",8.7758379,50.8132602,"node/2298768639"
"174","Stop_250",8.7742058,50.8189768,"node/2298829669"
"175","Stop_251",8.7691713,50.8163158,"node/2298845301"
"176","Stop_258",8.7716652,50.8259287,"node/2314957397"
"177","Stop_259",8.7722925,50.8202044,"node/2314957449"
"178","Stop_260",8.7724067,50.8215328,"node/2314957457"
"179","Stop_261",8.7723961,50.8216372,"node/2314957458"
"180","Stop_263",8.7601744,50.8378223,"node/2320761322"
"181","Stop_264",8.7620038,50.8319428,"node/2338422248"
"182","Stop_265",8.77289,50.8149723,"node/2341008788"
"183","Stop_266",8.7698157,50.8384411,"node/2341130016"
"184","Stop_267",8.7733533,50.8281656,"node/2341130036"
"185","Stop_268",8.7764626,50.8073014,"Erlenring, C1"
"186","Stop_269",8.7111814,50.8281208,"node/2359381230"
"187","Stop_270",8.772352,50.8094141,"node/2366182338"
"188","Stop_271",8.7827002,50.8057219,"node/2371396698"
"189","Stop_272",8.7698151,50.8258566,"node/2371404404"
"190","Stop_273",8.7735263,50.8387109,"node/2371405859"
"191","Stop_274",8.7645509,50.8007157,"node/2395522998"
"192","Stop_275",8.716595,50.7834678,"Cyriaxweimar Cyriaxstraße"
"193","Stop_276",8.7539729,50.7956026,"node/2441209827"
"194","Stop_277",8.7671345,50.8270772,"Marburg-Messe"
"195","Stop_282",8.7530387,50.8154298,"node/2474192106"
"196","Stop_283",8.7697789,50.814015,"node/2480534495"
"197","Stop_284",8.7697667,50.8140337,"node/2480534498"
"198","Stop_285",8.7415154,50.8089332,"node/2481735541"
"199","Stop_286",8.7418414,50.8091394,"Marburg"
"200","Stop_287",8.7416814,50.8089677,"node/2481750441"
"201","Stop_288",8.766931,50.8300092,"Marburg-Messe"
"202","Stop_289",8.780041,50.8062714,"node/2484832772"
"203","Stop_290",8.7796171,50.8062919,"node/2484832773"
"204","Stop_291",8.7769662,50.8075167,"node/2484832785"
"205","Stop_292",8.776664,50.8075087,"node/2484832786"
"206","Stop_293",8.7770173,50.8075987,"node/2484832789"
"207","Stop_294",8.7757036,50.8077338,"node/2484832793"
"208","Stop_295",8.761558,50.8125692,"node/2505351661"
"209","Stop_296",8.7521827,50.7911221,"node/2507703714"
"210","Stop_297",8.7572139,50.7945383,"node/2509801889"
"211","Stop_298",8.7569383,50.7945475,"node/2509801890"
"212","Stop_299",8.7611537,50.7962993,"node/2510771450"
"213","Stop_300",8.7787619,50.7847663,"node/2522478081"
"214","Stop_301",8.7791283,50.7847981,"node/2522478083"
"215","Stop_303",8.7672321,50.7895113,"node/2524394689"
"216","Stop_304",8.767354,50.7877107,"node/2524408872"
"217","Stop_305",8.7893655,50.7998845,"node/2524489921"
"218","Stop_306",8.7695103,50.8259328,"node/2524597576"
"219","Stop_307",8.7695788,50.8256553,"node/2524597584"
"220","Stop_308",8.7588171,50.8045319,"node/2544612945"
"221","Stop_309",8.7589203,50.8043664,"node/2544612947"
"222","Stop_310",8.7552228,50.8358186,"node/2546061242"
"223","Stop_311",8.7530793,50.798969,"node/2554602329"
"224","Stop_324",8.7627543,50.8144984,"node/2578032986"
"225","Stop_328",8.7680717,50.7775809,"node/2589244855"
"226","Stop_329",8.7695638,50.7789226,"node/2589244856"
"227","Stop_330",8.7779352,50.8192577,"node/2589244857"
"228","Stop_335",8.7642056,50.8135028,"node/2626504116"
"229","Stop_341",8.7818033,50.8042482,"node/2646083672"
"230","Stop_342",8.7446801,50.7948271,"node/2650671031"
"231","Stop_343",8.7156766,50.8306844,"node/2654846122"
"232","Stop_344",8.7686297,50.7969092,"node/2667719750"
"233","Stop_345",8.7687624,50.7950838,"node/2667767238"
"234","Stop_346",8.7602829,50.8007558,"node/2677924743"
"235","Stop_347",8.7601616,50.8009043,"node/2677924750"
"236","Stop_348",8.7813807,50.8057696,"node/2677924751"
"237","Stop_349",8.7800922,50.8061513,"node/2677924752"
"238","Stop_350",8.7567834,50.8360679,"node/2677924754"
"239","Stop_351",8.76706,50.7875852,"node/2677967661"
"240","Stop_352",8.7582313,50.7884542,"node/2677967670"
"241","Stop_353",8.7520524,50.7909652,"node/2677967673"
"242","Stop_354",8.7520462,50.7912158,"node/2677967676"
"243","Stop_355",8.7674839,50.789361,"node/2677968839"
"244","Stop_356",8.7610855,50.7964319,"node/2677968840"
"245","Stop_357",8.7686445,50.7966845,"node/2677968844"
"246","Stop_358",8.7687451,50.7967787,"node/2677968845"
"247","Stop_359",8.752998,50.8154751,"node/2677971374"
"248","Stop_360",8.7511908,50.816518,"node/2677971375"
"249","Stop_361",8.7513337,50.8165298,"node/2677971376"
"250","Stop_362",8.7511883,50.8166388,"node/2677971378"
"251","Stop_364",8.7655098,50.7747204,"node/2730955354"
"252","Stop_365",8.7655553,50.7807363,"node/2730955363"
"253","Stop_366",8.7720627,50.7970138,"node/2730955388"
"254","Stop_367",8.7798757,50.7984528,"node/2730955398"
"255","Stop_368",8.7823812,50.798723,"node/2730955401"
"256","Stop_369",8.7847914,50.7990312,"node/2730955404"
"257","Stop_371",8.7122179,50.7778413,"Cyriaxweimar"
"258","Stop_373",8.7666532,50.7902915,"node/2887556992"
"259","Stop_374",8.7633432,50.7945117,"node/2887556993"
"260","Stop_375",8.7749628,50.8283131,"node/2887632554"
"261","Stop_376",8.7677771,50.8406172,"node/2895465100"
"262","Stop_377",8.7677271,50.8406242,"node/2895465101"
"263","Stop_378",8.7679673,50.8406716,"node/2895465103"
"264","Stop_379",8.767659,50.8406866,"node/2895465105"
"265","Stop_380",8.7679541,50.8406958,"node/2895465106"
"266","Stop_381",8.7677086,50.8407123,"node/2895465107"
"267","Stop_382",8.7680017,50.8408621,"node/2895465110"
"268","Stop_383",8.7677162,50.8408677,"node/2895465111"
"269","Stop_384",8.7680353,50.8408802,"node/2895465112"
"270","Stop_385",8.767685,50.8408989,"node/2895465113"
"271","Stop_386",8.76798,50.8409661,"node/2895465117"
"272","Stop_387",8.7679449,50.8409685,"node/2895465119"
"273","Stop_388",8.7676226,50.8410941,"Marburg"
"274","Stop_389",8.7700051,50.8434716,"node/2895465136"
"275","Stop_390",8.77019,50.8435182,"node/2895465139"
"276","Stop_392",8.7634256,50.7947807,"node/2900823832"
"277","Stop_393",8.7717381,50.8073365,"node/2901052952"
"278","Stop_394",8.7713942,50.8074211,"node/2901052953"
"279","Stop_395",8.7718126,50.807524,"node/2901052954"
"280","Stop_396",8.7721352,50.8076444,"node/2901052955"
"281","Stop_397",8.772456,50.8076777,"node/2901052956"
"282","Stop_398",8.7722871,50.8078376,"node/2901052957"
"283","Stop_399",8.7727039,50.8088206,"node/2901052958"
"284","Stop_400",8.7727498,50.8088572,"node/2901052959"
"285","Stop_401",8.7729445,50.8089667,"node/2901052962"
"286","Stop_402",8.7725505,50.8090183,"node/2901052964"
"287","Stop_403",8.7732887,50.809121,"node/2901052966"
"288","Stop_404",8.7734219,50.8091859,"node/2901052967"
"289","Stop_405",8.7739993,50.8097669,"node/2901052969"
"290","Stop_406",8.7740693,50.8098992,"node/2901052975"
"291","Stop_407",8.7683792,50.8306213,"Marburg"
"292","Stop_408",8.7695512,50.8256933,"node/2923514590"
"293","Stop_409",8.7688483,50.8296705,"node/2923514591"
"294","Stop_410",8.742355,50.8023232,"node/2923648784"
"295","Stop_411",8.7379189,50.8032402,"node/2923648785"
"296","Stop_412",8.7679507,50.8069188,"node/2923719908"
"297","Stop_413",8.7662811,50.7964874,"node/2923728367"
"298","Stop_414",8.778094,50.7893271,"node/2925038258"
"299","Stop_415",8.7735154,50.7784629,"node/2925075934"
"300","Stop_416",8.7674532,50.7793785,"node/2925075936"
"301","Stop_417",8.7801374,50.80619,"node/2935220530"
"302","Stop_418",8.7795496,50.806325,"node/2935220531"
"303","Stop_419",8.7800203,50.8064024,"node/2935220532"
"304","Stop_420",8.7778041,50.8072577,"node/2935220538"
"305","Stop_421",8.7766521,50.8074742,"node/2935220540"
"306","Stop_422",8.7770885,50.8075815,"node/2935220541"
"307","Stop_423",8.7765702,50.8076032,"node/2935220542"
"308","Stop_424",8.7754376,50.8077714,"node/2935220543"
"309","Stop_425",8.775782,50.8078227,"node/2935220544"
"310","Stop_426",8.7767936,50.8078516,"node/2935220545"
"311","Stop_427",8.7719439,50.8077466,"node/2944086270"
"312","Stop_428",8.760838,50.7962522,"node/2961621362"
"313","Stop_429",8.7612221,50.7962571,"node/2961621363"
"314","Stop_430",8.7622485,50.7977943,"node/2961621381"
"315","Stop_431",8.7623853,50.7978595,"node/2961621383"
"316","Stop_432",8.7621638,50.7978505,"node/2961621384"
"317","Stop_433",8.762037,50.7979223,"node/2961621387"
"318","Stop_434",8.7620466,50.7979752,"node/2961621389"
"319","Stop_435",8.7622883,50.7980143,"node/2961621391"
"320","Stop_436",8.7620199,50.7986738,"node/2961621396"
"321","Stop_437",8.7618458,50.7989523,"node/2961621397"
"322","Stop_438",8.7618077,50.7989987,"node/2961621398"
"323","Stop_439",8.7621514,50.7990051,"node/2961621399"
"324","Stop_440",8.7687004,50.8069191,"node/2968610854"
"325","Stop_441",8.7685024,50.8159995,"node/2978913843"
"326","Stop_442",8.770913,50.8169968,"node/2978913874"
"327","Stop_443",8.7708696,50.8170303,"node/2978913878"
"328","Stop_444",8.7706283,50.8170596,"node/2978913879"
"329","Stop_445",8.7708521,50.8171728,"node/2978913885"
"330","Stop_446",8.7708837,50.8171888,"node/2978913888"
"331","Stop_447",8.7476623,50.8078455,"Marburg"
"332","Stop_448",8.7418484,50.8088283,"node/2994494563"
"333","Stop_451",8.7463209,50.8208745,"node/2995435670"
"334","Stop_452",8.7697287,50.8258441,"node/2996104077"
"335","Stop_453",8.7716787,50.8258737,"node/2996104079"
"336","Stop_454",8.7695236,50.8258903,"node/2996104080"
"337","Stop_455",8.7714002,50.8260083,"node/2996104088"
"338","Stop_456",8.7714602,50.8260117,"node/2996104089"
"339","Stop_457",8.7716261,50.826207,"node/2996104103"
"340","Stop_458",8.7715175,50.8262128,"node/2996104105"
"341","Stop_459",8.7686808,50.8306345,"node/2996176590"
"342","Stop_460",8.8092854,50.8175877,"node/3024546741"
"343","Stop_461",8.8097212,50.8176114,"node/3024546742"
"344","Stop_463",8.7113161,50.8282058,"node/3043532562"
"345","Stop_468",8.7708767,50.8145653,"Elisabethkirche, B2"
"346","Stop_469",8.7727686,50.8283624,"node/3138331270"
"347","Stop_470",8.7729285,50.828399,"node/3138331271"
"348","Stop_471",8.7726499,50.828406,"node/3138331273"
"349","Stop_472",8.7730323,50.8284655,"node/3138331275"
"350","Stop_473",8.7728689,50.8286921,"node/3138331277"
"351","Stop_474",8.7728988,50.8287532,"node/3138331279"
"352","Stop_475",8.7795976,50.8126954,"node/3139618419"
"353","Stop_476",8.7794761,50.8127519,"node/3139618420"
"354","Stop_478",8.7500627,50.7723714,"node/3220299554"
"355","Stop_479",8.7502808,50.7724422,"node/3220299557"
"356","Stop_480",8.7502158,50.7725845,"node/3220299963"
"357","Stop_485",8.7780533,50.8081113,"Marburg"
"358","Stop_486",8.7032699,50.7784564,"Steinborn"
"359","Stop_487",8.7007683,50.7786747,"Steingasse"
"360","Stop_488",8.7817847,50.8040923,"Weintrautstraße"
"361","Stop_489",8.7700489,50.8041618,"node/3380519900"
"362","Stop_490",8.7735903,50.8185435,"node/3413950617"
"363","Stop_491",8.7733814,50.8187214,"node/3413950618"
"364","Stop_492",8.7614929,50.8066528,"node/3428606308"
"365","Stop_503",8.7677204,50.789432,"node/3563173004"
"366","Stop_504",8.7672939,50.789498,"node/3563173005"
"367","Stop_505",8.767524,50.7895472,"node/3563173007"
"368","Stop_506",8.7515468,50.7897411,"node/3563173015"
"369","Stop_507",8.7512979,50.7898134,"node/3563173020"
"370","Stop_508",8.7515821,50.7899505,"node/3563173025"
"371","Stop_509",8.7513891,50.7900412,"node/3563173028"
"372","Stop_510",8.7515724,50.7901702,"node/3563173038"
"373","Stop_511",8.7522228,50.7911685,"node/3563173064"
"374","Stop_512",8.7521181,50.7912373,"node/3563173067"
"375","Stop_513",8.7569237,50.7944046,"node/3563173197"
"376","Stop_514",8.757253,50.7945556,"node/3563173199"
"377","Stop_515",8.7569113,50.7945639,"node/3563173200"
"378","Stop_516",8.7661529,50.7963474,"node/3563173220"
"379","Stop_517",8.7658754,50.7965365,"node/3563173223"
"380","Stop_518",8.7656949,50.7965589,"Konrad-Adenauer-Brücke"
"381","Stop_519",8.7693698,50.7985885,"node/3563173236"
"382","Stop_520",8.7693995,50.7986164,"node/3563173238"
"383","Stop_521",8.7694746,50.7986734,"node/3563173240"
"384","Stop_531",8.7603324,50.7880024,"node/3569232127"
"385","Stop_532",8.7599825,50.7880479,"node/3569232128"
"386","Stop_533",8.7603842,50.7880807,"node/3569232130"
"387","Stop_534",8.758265,50.7884196,"node/3569232158"
"388","Stop_535",8.757756,50.7884384,"node/3569232165"
"389","Stop_536",8.7579558,50.7885053,"node/3569232171"
"390","Stop_537",8.7579711,50.7885337,"node/3569232174"
"391","Stop_538",8.7651499,50.7749807,"node/3569582697"
"392","Stop_539",8.768778,50.7948678,"node/3573944593"
"393","Stop_540",8.7687599,50.7951175,"node/3573944597"
"394","Stop_541",8.7700166,50.8041448,"node/3588188045"
"395","Stop_542",8.7700707,50.8041737,"node/3588188046"
"396","Stop_543",8.7324918,50.7977347,"node/3598570819"
"397","Stop_550",8.7788111,50.7846555,"node/3623267230"
"398","Stop_551",8.7791353,50.7846599,"node/3623267231"
"399","Stop_552",8.7790855,50.7848969,"node/3623267234"
"400","Stop_553",8.7790459,50.784953,"node/3623267235"
"401","Stop_554",8.7736379,50.7863747,"node/3623267271"
"402","Stop_555",8.7883386,50.7917706,"node/3627067807"
"403","Stop_556",8.7686037,50.8071767,"node/3629443133"
"404","Stop_557",8.78938,50.7998565,"node/3632904589"
"405","Stop_558",8.7759853,50.8006835,"node/3632904591"
"406","Stop_559",8.7761055,50.8007151,"node/3632904592"
"407","Stop_560",8.7818007,50.8041965,"node/3632904711"
"408","Stop_561",8.7811613,50.8056154,"node/3632904715"
"409","Stop_562",8.7830755,50.8056538,"node/3632904716"
"410","Stop_563",8.7825535,50.8057341,"node/3632904718"
"411","Stop_564",8.7808758,50.8057584,"node/3632904720"
"412","Stop_565",8.7814265,50.805765,"node/3632904721"
"413","Stop_566",8.7830181,50.8058321,"node/3632904723"
"414","Stop_567",8.7809032,50.8058526,"node/3632904724"
"415","Stop_568",8.7679089,50.8069135,"node/3633140848"
"416","Stop_569",8.7684775,50.8069957,"node/3633140851"
"417","Stop_570",8.7688484,50.8070489,"node/3633140852"
"418","Stop_571",8.7511556,50.8165016,"node/3650160012"
"419","Stop_572",8.7732952,50.8186791,"Hauptbahnhof, B6"
"420","Stop_576",8.7673059,50.7862533,"node/3713928829"
"421","Stop_577",8.7670863,50.7863741,"node/3713928847"
"422","Stop_578",8.7667206,50.7865696,"node/3713928856"
"423","Stop_579",8.7663148,50.7865779,"node/3713928858"
"424","Stop_580",8.7665646,50.7868464,"node/3713928896"
"425","Stop_581",8.7384067,50.7927163,"node/3715374304"
"426","Stop_582",8.738088,50.7927608,"node/3715374317"
"427","Stop_583",8.7621224,50.8319957,"node/3726146573"
"428","Stop_584",8.7730202,50.8182012,"node/3728901472"
"429","Stop_585",8.7730779,50.8182239,"node/3728901473"
"430","Stop_586",8.7741868,50.8190013,"node/3730283259"
"431","Stop_587",8.7622408,50.8318357,"node/3731924647"
"432","Stop_588",8.7622144,50.8319134,"node/3731924648"
"433","Stop_589",8.7731865,50.8203189,"node/3732072054"
"434","Stop_590",8.7731692,50.8203457,"node/3732072055"
"435","Stop_591",8.7729621,50.820384,"node/3732072056"
"436","Stop_592",8.7730121,50.820398,"node/3732072057"
"437","Stop_593",8.7730654,50.8204948,"node/3732072058"
"438","Stop_594",8.7725752,50.8214941,"node/3732072080"
"439","Stop_595",8.7725678,50.8215224,"node/3732072082"
"440","Stop_596",8.7723621,50.8215354,"node/3732072083"
"441","Stop_597",8.7725343,50.8217238,"node/3732072086"
"442","Stop_598",8.7721571,50.8233337,"node/3732072089"
"443","Stop_600",8.7739587,50.8187338,"Hauptbahnhof, A1"
"444","Stop_601",8.778042,50.8190178,"Hauptbahnhof Ost / Ortenbergsteg, A1"
"445","Stop_602",8.7779529,50.8192094,"node/3734990611"
"446","Stop_603",8.7779152,50.8193041,"node/3734990613"
"447","Stop_604",8.7730586,50.8281393,"node/3734990621"
"448","Stop_605",8.7712406,50.8144803,"Elisabethkirche, A1"
"449","Stop_606",8.7620522,50.7986,"Frankfurter Straße/Theater, A1"
"450","Stop_607",8.7692934,50.8071169,"Gutenbergstraße, A3"
"451","Stop_608",8.7736941,50.8185971,"Hauptbahnhof, A3"
"452","Stop_609",8.7689765,50.7980658,"Körnerstraße"
"453","Stop_610",8.7692409,50.7984485,"Körnerstraße"
"454","Stop_611",8.7747419,50.8003103,"Reichwein-Schule"
"455","Stop_612",8.7757065,50.8006144,"Reichwein-Schule"
"456","Stop_613",8.773024,50.8089998,"Rudolphsplatz, A1"
"457","Stop_614",8.7717318,50.8256057,"Schlosserstraße"
"458","Stop_615",8.7716992,50.82577,"Schlosserstraße"
"459","Stop_616",8.7633768,50.7949597,"Südbahnhof, A3"
"460","Stop_617",8.7589986,50.8034813,"Wilhelmsplatz, A5"
"461","Stop_618",8.7759796,50.8077986,"Erlenring, A1"
